Artist,Year,CumWeeksAtNo1
Vertical Horizon,2019,1
Vertical Horizon,2020,1
Vertical Horizon,2021,1
Vertical Horizon,2022,1
Vertical Horizon,2023,1
Vertical Horizon,2024,1
Vertical Horizon,2025,1
Vertical Horizon,2026,1
matchbox twenty,2000,1
matchbox twenty,2001,1
matchbox twenty,2002,1
matchbox twenty,2003,1
matchbox twenty,2004,1
matchbox twenty,2005,1
matchbox twenty,2006,1
matchbox twenty,2007,1
matchbox twenty,2008,1
matchbox twenty,2009,1
matchbox twenty,2010,1
matchbox twenty,2011,1
matchbox twenty,2012,1
matchbox twenty,2013,1
matchbox twenty,2014,1
matchbox twenty,2015,1
matchbox twenty,2016,1
matchbox twenty,2017,1
matchbox twenty,2018,1
matchbox twenty,2019,1
matchbox twenty,2020,1
matchbox twenty,2021,1
matchbox twenty,2022,1
matchbox twenty,2023,1
matchbox twenty,2024,1
matchbox twenty,2025,1
matchbox twenty,2026,1
